"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.736243600E-2,-4.800000191E-1,6.783000469E0,7.509000301E0,1.013037911E1
2.989252200E-2,-4.590000212E-1,6.877050400E0,7.378050327E0,1.009654049E1
3.242544500E-2,-5.980500579E-1,6.979950428E0,7.107000351E0,9.979319909E0
3.495283000E-2,-7.440000176E-1,6.706950188E0,6.880050182E0,9.637001990E0
3.748277200E-2,-8.539500237E-1,6.562950134E0,6.781950474E0,9.476096102E0
4.001292500E-2,-7.030500174E-1,6.646950245E0,6.958950520E0,9.649000944E0
4.254577000E-2,-4.300500154E-1,6.895950317E0,7.150050163E0,9.942951832E0
4.507323300E-2,-4.879500270E-1,7.036950111E0,7.155000210E0,1.004742704E1
4.760330800E-2,-7.579500079E-1,7.012950420E0,6.919950485E0,9.881380295E0
5.013346200E-2,-8.400000334E-1,6.844950199E0,6.834000111E0,9.708887722E0
5.266615400E-2,-7.030500174E-1,6.831000328E0,6.841050148E0,9.693132205E0
5.519354100E-2,-7.219500542E-1,6.924000263E0,6.838950157E0,9.758802733E0
5.772369300E-2,-7.489500642E-1,6.883950233E0,6.865050316E0,9.750826265E0
6.025384700E-2,-7.150500417E-1,6.835950375E0,6.931950092E0,9.761836209E0
6.278669300E-2,-6.340500116E-1,6.951000214E0,7.026000500E0,9.903691555E0
6.531407900E-2,-5.160000324E-1,6.996000290E0,7.086000443E0,9.971041990E0
6.784423100E-2,-4.800000191E-1,7.008000374E0,6.868050098E0,9.824081708E0
7.037438500E-2,-5.590500236E-1,7.006050110E0,6.588000298E0,9.633224953E0
7.290707700E-2,-6.139500141E-1,6.831000328E0,6.388950348E0,9.373269795E0
7.543446400E-2,-7.249500155E-1,6.661050320E0,6.400950432E0,9.266461586E0
7.796461600E-2,-6.769500375E-1,6.673050404E0,6.657000542E0,9.450053929E0
8.049476500E-2,-4.249500334E-1,6.786000252E0,7.156950474E0,9.871794266E0
8.302761100E-2,-3.750000298E-1,6.952950478E0,7.405950546E0,1.016524711E1
8.555499700E-2,-7.129500508E-1,6.972000122E0,7.378050327E0,1.017608521E1
8.808514900E-2,-8.989500403E-1,6.774000168E0,7.344000340E0,1.003142714E1
9.061530300E-2,-7.920000553E-1,6.642000198E0,7.375050545E0,9.956646085E0
9.314799600E-2,-7.369500399E-1,6.853050232E0,7.417950153E0,1.012587662E1
9.567538200E-2,-7.510500550E-1,6.867000103E0,7.411050320E0,1.013130956E1
9.820553400E-2,-7.840500474E-1,6.699000359E0,7.371000290E0,9.991145358E0
1.007357020E-1,-7.080000043E-1,6.750000477E0,7.342050552E0,9.998473721E0
1.032685480E-1,-5.380499959E-1,6.880950451E0,7.276950359E0,1.002950564E1
1.057959350E-1,-4.110000134E-1,6.939000130E0,7.174050331E0,9.989276348E0
1.083260860E-1,-4.420500100E-1,6.951000214E0,6.882000446E0,9.791513791E0
1.108562260E-1,-5.809500217E-1,6.735000134E0,6.633000374E0,9.470714001E0
1.133889190E-1,-7.609500289E-1,6.534000397E0,6.540000439E0,9.275980372E0
1.159163050E-1,-7.459500432E-1,6.642000198E0,6.693000317E0,9.458798092E0
1.184464570E-1,-4.830000103E-1,6.841050148E0,7.042950153E0,9.830381630E0
1.209766300E-1,-3.820500076E-1,6.931950092E0,7.216950417E0,1.001410343E1
